[(1, 15081.35963267557),
 (0.9900990099009901, 15242.131706177179),
 (0.9876543209876543, 15288.187308561524),
 (0.9836065573770492, 15370.187244486266),
 (0.9803921568627451, 15426.398974340504),
 (0.975609756097561, 15511.257182298961),
 (0.9722222222222222, 15575.55192279231),
 (0.967741935483871, 15656.518913016787),
 (0.9615384615384616, 15761.73011502317),
 (0.9523809523809523, 15913.770286387442),
 (0.9375, 16173.679010755466),
 (0.9230769230769231, 16422.980593789707),
 (0.9090909090909091, 16661.610251902297),
 (0.8888888888888888, 17003.463848851614),
 (0.8571428571428571, 17523.818525006172),
 (0.8333333333333334, 17911.998869836803),
 (0.8, 18428.55259269788),
 (0.7777777777777778, 18733.056083821324),
 (0.75, 19041.648105329532),
 (0.7368421052631579, 19163.137171138515),
 (0.7142857142857143, 19309.771034234116),
 (0.7058823529411765, 19337.274359554154),
 (0.6969696969696969, 19347.43376772017),
 (0.6875, 19344.02932484567),
 (0.6774193548387097, 19313.296831140888),
 (0.6721311475409836, 19286.493876959867),
 (0.6666666666666666, 19251.73771814865),
 (0.6551724137931034, 19155.335038371933),
 (0.6428571428571429, 19012.01207969169),
 (0.6153846153846154, 18504.060482751924),
 (0.6, 18110.69055996844),
 (0.5833333333333334, 17601.407527541043),
 (0.5652173913043479, 16937.897963662246),
 (0.5454545454545454, 16068.844497660357),
 (0.5238095238095238, 15012.71371969522),
 (0.5, 13666.17276637612)]
