PWR;J;S1;S2;m1;m2;mH2;mAzi;u1;u2;Re1;Re2;PhiTot;PhiInt;Xst;Zst;rho1;rho2;d1;d2;MW1;MW2;Image_Name
10.01233704;1.732130476;0.29;0.00;0.00150971;0.006705683;8.3464E-05;0;28.3;28.3;10869;14518;0.35;2.0;0.479221451;0.345052365;0.678651658;1.179466429;0.01;0.02;16.59421018;28.84;P2S29S0.jpg
10.01538813;1.775672884;0.29;1.18;0.001500941;0.006758815;8.34894E-05;0.004531687;28.2;28.5;10810;14633;0.35;2.0;0.478342434;0.343668408;0.676884472;1.179466429;0.01;0.02;16.5509994;28.84;P2S29S118.png
10.05722911;1.775246378;0.60;0.00;0.001504196;0.00677555;8.38382E-05;0;28.3;28.6;10834;14669;0.35;2.0;0.478055754;0.343216795;0.676306722;1.179466429;0.01;0.02;16.53687242;28.84;P2S6S0.png
10.05924031;1.887456645;0.60;0.77;0.001462709;0.00683499;8.3855E-05;0.002999997;27.9;28.8;10552;14798;0.35;2.1;0.47405141;0.336895562;0.668163662;1.179466429;0.01;0.02;16.33776049;28.84;P2S6S077.png
10.05572071;1.753447014;0.60;1.43;0.001462591;0.006586962;8.38256E-05;0.005352122;27.9;27.8;10551;14261;0.36;2.1;0.474089374;0.336955607;0.66824151;1.179466429;0.01;0.02;16.33966399;28.84;P2S6S142.png
10.00685766;1.773365004;0.87;0.00;0.001500427;0.006751375;8.34183E-05;0.001;28.2;28.5;10806;14617;0.35;2.0;0.478415417;0.343783361;0.677031445;1.179466429;0.01;0.02;16.55459316;28.84;P2S87S0.png
10.01601663;2.344094259;0.87;0.95;0.00139466;0.007332069;8.34946E-05;0.00397792;27.1;30.9;10086;15874;0.33;2.2;0.467992573;0.327284404;0.655577735;1.179466429;0.01;0.02;16.03001274;28.84;P2S87S096.png
10.01167426;3.562648143;0.87;0.00;0.001032928;0.007195692;8.34584E-05;0;23.2;30.3;7633;15579;0.35;3.0;0.429553456;0.264966425;0.567457122;1.179466429;0.01;0.02;13.8753109;28.84;P3S87S0.png
10.02669542;5.604735242;0.00;0.00;0.000791818;0.007448421;8.35837E-05;0;20.6;31.4;6012;16126;0.35;4.0;0.400490736;0.216253747;0.489602058;1.179466429;0.01;0.02;11.97161954;28.84;P4S0S0.jpg
10.02401572;5.636116514;0.00;0.66;0.000791962;0.007469622;8.35613E-05;0.002796414;20.6;31.5;6012;16172;0.35;4.0;0.400535522;0.216329908;0.489730727;1.179466429;0.01;0.02;11.97476573;28.84;P4S0S065.png
10.02856378;6.007659699;0.00;1.02;0.000792092;0.007713813;8.35992E-05;0.004473078;20.6;32.5;6014;16701;0.34;4.0;0.400506586;0.216280701;0.489647598;1.179466429;0.01;0.02;11.97273307;28.84;P4S0S102.png
10.01327979;5.478495366;0.29;0.00;0.000798473;0.007404939;8.34718E-05;0;20.6;31.2;6055;16032;0.35;4.0;0.401461451;0.217903708;0.492384435;1.179466429;0.01;0.02;12.0396535;28.84;P4S29S0.png
10.01177711;5.454813101;0.29;0.59;0.000797829;0.007384367;8.34593E-05;0.002491256;20.6;31.1;6051;15987;0.35;4.0;0.40139552;0.217791694;0.492195883;1.179466429;0.01;0.02;12.03504305;28.84;P4S29S059.jpg
10.01086292;5.509041138;0.29;1.45;0.000797956;0.007421621;8.34517E-05;0.00611752;20.6;31.3;6052;16068;0.35;4.0;0.401420637;0.217834367;0.492267721;1.179466429;0.01;0.02;12.03679962;28.84;P4S29S145.png
10.05892606;5.470652569;0.60;0.00;0.000805679;0.007456783;8.38523E-05;0;20.8;31.4;6107;16144;0.35;4.0;0.401907063;0.218660592;0.493657197;1.179466429;0.01;0.02;12.07077472;28.84;P4S6S0.png
10.05180115;5.413873811;0.60;0.56;0.000805476;0.007415131;8.37929E-05;0.002372492;20.8;31.3;6105;16054;0.35;4.0;0.401952973;0.218738553;0.493788166;1.179466429;0.01;0.02;12.07397714;28.84;P4S6S056.png
10.0113143;5.486153255;0.87;0.00;0.000795708;0.007391499;8.34554E-05;0;20.6;31.2;6037;16003;0.35;4.0;0.401133508;0.217346471;0.491445953;1.179466429;0.01;0.02;12.01670598;28.84;P4S87S0.png
10.01451965;5.591436199;0.87;0.60;0.00079557;0.007461868;8.34822E-05;0.002559102;20.6;31.5;6036;16155;0.35;4.0;0.401084152;0.217262589;0.491304576;1.179466429;0.01;0.02;12.01324905;28.84;P4S87S06.png
10.01324551;5.518429477;0.87;1.07;0.000795492;0.0074122;8.34715E-05;0.004531781;20.6;31.3;6035;16048;0.35;4.0;0.401087017;0.217267459;0.491312784;1.179466429;0.01;0.02;12.01344975;28.84;P4S87S107.png
10.02022758;9.587999065;0.00;0.00;0.000557943;0.007658368;8.35297E-05;0;18.1;32.3;4450;16581;0.35;6.0;0.369582935;0.162865075;0.393369061;1.179466429;0.01;0.02;9.618555848;28.84;P6S0S0.png
10.06230854;9.543955657;0.00;0.00;0.000565199;0.007717674;8.38805E-05;0;18.2;32.5;4501;16709;0.35;6.0;0.370263585;0.164058905;0.395661309;1.179466429;0.01;0.02;9.674605285;28.84;P6S0S0.png
10.02131888;9.639142334;0.00;0.62;0.00055794;0.007679025;8.35388E-05;0.002721813;18.1;32.4;4450;16625;0.35;6.0;0.369574165;0.162849688;0.393339473;1.179466429;0.01;0.02;9.617832368;28.84;P6S0S062.jpg
10.02314725;9.675496424;0.00;0.92;0.000558145;0.007695838;8.35541E-05;0.004030277;18.1;32.5;4451;16662;0.35;6.0;0.36958844;0.162874734;0.393387634;1.179466429;0.01;0.02;9.619009995;28.84;P6S0S091.png
10.01270843;9.655102123;0.29;0.00;0.000559215;0.007694878;8.34671E-05;0;18.1;32.4;4458;16660;0.35;6.0;0.369818509;0.163278356;0.394163368;1.179466429;0.01;0.02;9.637978025;28.84;P6S29S0.png
10.00982304;9.507699566;0.29;0.57;0.000558696;0.007630451;8.3443E-05;0.002486472;18.1;32.2;4454;16520;0.35;6.0;0.369768604;0.163190812;0.393995181;1.179466429;0.01;0.02;9.633865577;28.84;P6S29S057.jpg
10.05233252;9.480905732;0.60;0.00;0.000561388;0.007654957;8.37974E-05;0;18.1;32.3;4475;16573;0.35;6.0;0.369812925;0.163268559;0.394144549;1.179466429;0.01;0.02;9.637517883;28.84;P6S6S0.png
10.05677202;9.660954802;0.60;0.60;0.000560832;0.007723332;8.38344E-05;0.002639311;18.1;32.6;4472;16721;0.35;6.0;0.369701441;0.163072989;0.393768764;1.179466429;0.01;0.02;9.628329287;28.84;P6S6S06.png
10.00906884;9.544340462;0.87;0.00;0.000558704;0.007645022;8.34367E-05;0;18.1;32.2;4454;16552;0.35;6.0;0.369775598;0.163203082;0.394018756;1.179466429;0.01;0.02;9.634442007;28.84;P6S87S0.png
10.01317123;9.637439927;0.87;0.56;0.00055853;0.007681676;8.34709E-05;0.002461489;18.1;32.4;4453;16631;0.35;6.0;0.369719549;0.163104757;0.393829818;1.179466429;0.01;0.02;9.629822164;28.84;P6S87S056.png
9.999927016;0.578030985;0.29;0.70;0.001500658;0.006733497;8.33605E-05;0.003401836;78.4;45.1;18011;20283;0.35;2.0;0.478536726;0.343974411;0.677275639;1.179466429;0.006;0.015;16.56056413;28.84;P2S29S07.png
10.00946308;0.57441265;0.29;0.80;0.00150569;0.006731469;8.344E-05;0.003867216;78.5;45.1;18069;20277;0.35;2.0;0.478880054;0.344514997;0.677966081;1.179466429;0.006;0.015;16.57744663;28.84;P2S29S08.png
10.00052695;0.574380262;0.29;0.88;0.001500643;0.006712235;8.33655E-05;0.004257899;78.4;45.0;18011;20219;0.35;2.0;0.478526744;0.34395869;0.677255549;1.179466429;0.006;0.015;16.56007288;28.84;P2S29S088.png
9.994830449;0.568357415;0.60;0.00;0.00150377;0.00668709;8.3318E-05;0;78.4;44.8;18046;20143;0.35;2.0;0.478906852;0.344557184;0.67801993;1.179466429;0.006;0.015;16.57876333;28.84;P2S6S0.png
10.04299643;0.574540742;0.60;0.00;0.001502372;0.006725328;8.37195E-05;0;78.6;45.1;18035;20258;0.35;2.0;0.478084831;0.343262607;0.676365353;1.179466429;0.006;0.015;16.53830605;28.84;P2S6S0.png
10.07858098;0.586191916;-0.60;0.00;0.001496202;0.006776354;8.40162E-05;0;78.5;45.4;17968;20412;0.35;2.0;0.476991791;0.341539616;0.674156431;1.179466429;0.006;0.015;16.48429407;28.84;P2Sm6S0.png
9.992007911;0.566458982;0.60;0.84;0.001503389;0.006674179;8.32945E-05;0.004018123;78.4;44.8;18042;20104;0.35;2.0;0.478911006;0.344563724;0.678028278;1.179466429;0.006;0.015;16.57896744;28.84;P2S6S084.png
9.993362044;0.571130644;0.60;0.98;0.001503392;0.006701848;8.33058E-05;0.004706023;78.4;44.9;18042;20187;0.35;2.0;0.478891859;0.344533581;0.677989803;1.179466429;0.006;0.015;16.57802667;28.84;P2S6S097.png
10.01766787;0.563834519;0.87;0.00;0.001507987;0.00667837;8.35084E-05;0;78.6;44.8;18096;20117;0.35;2.0;0.478981125;0.344674105;0.678169149;1.179466429;0.006;0.015;16.582412;28.84;P2S87S0.png
10.0747357;0.563846631;0.87;0.00;0.001516508;0.006716246;8.39841E-05;0;79.1;45.0;18199;20231;0.35;2.0;0.478974609;0.344663848;0.67815606;1.179466429;0.006;0.015;16.58209195;28.84;P2S87S0.png
10.04165944;0.574597864;-0.87;0.00;0.001493735;0.006695045;8.37084E-05;0;78.3;44.9;17937;20167;0.35;2.0;0.47727987;0.3419939;0.674739591;1.179466429;0.006;0.015;16.49855336;28.84;P2Sm87S0.png
10.0142054;0.573276481;0.87;0.82;0.001507288;0.006731103;8.34795E-05;0.003985343;78.6;45.1;18088;20275;0.35;2.0;0.478964216;0.344647488;0.678135183;1.179466429;0.006;0.015;16.58158145;28.84;P2S87S082.png
10.04166516;0.576679617;-0.87;0.86;0.001493535;0.00670646;8.37084E-05;0.004140457;78.3;45.0;17935;20201;0.35;2.0;0.477260745;0.341963746;0.674700899;1.179466429;0.006;0.015;16.49760725;28.84;P2Sm87S086.png
10.01498817;0.576468513;0.87;1.00;0.0015075;0.006750677;8.34861E-05;0.004844015;78.6;45.3;18091;20334;0.35;2.0;0.478973185;0.344661605;0.678153199;1.179466429;0.006;0.015;16.58202198;28.84;P2S87S099.png
10.03924257;0.577469621;-0.87;1.02;0.001493121;0.00670924;8.36883E-05;0.004925492;78.3;45.0;17930;20210;0.35;2.0;0.47725554;0.341955537;0.674690366;1.179466429;0.006;0.015;16.4973497;28.84;P2Sm87S102.png
10.00164111;1.800846847;0.29;0.00;0.000800374;0.00742673;8.33748E-05;0;57.4;49.8;10112;22371;0.35;4.0;0.401817022;0.218507683;0.49340025;1.179466429;0.006;0.015;12.06449193;28.84;P4S29S0.png
9.99932137;1.800085922;0.29;0.67;0.00080028;0.007424046;8.33555E-05;0.003588069;57.4;49.8;10111;22363;0.35;4.0;0.401828622;0.218527382;0.493433357;1.179466429;0.006;0.015;12.06530146;28.84;P4S29S067.png
9.986979908;1.818488738;0.60;0.00;0.000791807;0.007403162;8.32526E-05;0;57.1;49.6;10015;22300;0.35;4.0;0.400885367;0.21692471;0.490734821;1.179466429;0.006;0.015;11.99931757;28.84;P4S6S0.png
10.07822674;1.886242203;-0.60;0.00;0.000771386;0.007421849;8.40132E-05;0;56.8;49.8;9797;22356;0.35;4.2;0.397406676;0.211000976;0.480671976;1.179466429;0.006;0.015;11.75326355;28.84;P4Sm6S0.png
9.990276678;1.83157539;0.60;0.72;0.000794554;0.007448719;8.32801E-05;0.003870062;57.2;49.9;10046;22437;0.35;4.0;0.401198856;0.217457525;0.491633084;1.179466429;0.006;0.015;12.02128165;28.84;P4S6S072.png
10.07914092;1.912893116;-0.60;0.76;0.000771306;0.007473755;8.40208E-05;0.004066288;56.8;50.1;9796;22513;0.35;4.2;0.397387738;0.210968671;0.480616712;1.179466429;0.006;0.015;11.75191225;28.84;P4Sm6S076.png
9.98554007;1.819771036;0.60;0.77;0.000794342;0.007422246;8.32406E-05;0.004091234;57.1;49.8;10043;22357;0.35;4.0;0.40121961;0.217492791;0.4916925;1.179466429;0.006;0.015;12.02273448;28.84;P4S6S076.png
10.0151253;1.788604028;0.87;0.00;0.000804723;0.007432861;8.34872E-05;0;57.5;49.8;10162;22389;0.35;4.0;0.402226998;0.219203803;0.494569261;1.179466429;0.006;0.015;12.09307628;28.84;P4S87S0.png
10.0400082;1.836511763;-0.87;0.00;0.000792427;0.007455408;8.36946E-05;0;57.3;50.0;10028;22457;0.35;4.0;0.400435045;0.216159038;0.489442021;1.179466429;0.006;0.015;11.96770636;28.84;P4Sm87S0.png
10.01416541;1.767663304;0.87;0.76;0.000804275;0.007386098;8.34792E-05;0.00403345;57.5;49.5;10157;22248;0.35;4.0;0.402180549;0.219124949;0.494436935;1.179466429;0.006;0.015;12.08984068;28.84;P4S87S075.png
10.04107665;1.812202489;-0.87;0.80;0.00079011;0.007390812;8.37035E-05;0.004251243;57.2;49.6;10002;22263;0.35;4.0;0.400133076;0.215645415;0.48857349;1.179466429;0.006;0.015;11.94646927;28.84;P4Sm87S08.png
10.01186281;1.725110732;0.87;1.04;0.000804733;0.007299113;8.346E-05;0.005474875;57.5;48.9;10162;21986;0.36;4.0;0.402261077;0.219261656;0.494666329;1.179466429;0.006;0.015;12.09544975;28.84;P4S87S104.png
9.996835937;3.089690545;0.29;0.00;0.000558908;0.007597589;8.33347E-05;0;50.1;50.9;7424;22886;0.35;6.0;0.369899333;0.163420126;0.394435655;1.179466429;0.006;0.015;9.644635931;28.84;P6S29S0.png
9.995093276;3.125959651;0.29;0.64;0.000558576;0.007638579;8.33202E-05;0.003512778;50.1;51.2;7420;23009;0.35;6.0;0.369866606;0.163362722;0.394325415;1.179466429;0.006;0.015;9.641940363;28.84;P6S29S064.png
